timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname,IdleTime,Connect
2020/10/31 20:47:42.040,1554,http://www.testingyes.com/demo/,200,OK,Thread Group 1-1,text,true,,390919,7220,1,1,http://www.testingyes.com/demo/,354,DESKTOP-B8OPFP2,0,137
2020/10/31 20:47:42.040,475,http://www.testingyes.com/demo/-0,200,OK,Thread Group 1-1,text,true,,20488,377,1,1,http://www.testingyes.com/demo/,354,DESKTOP-B8OPFP2,0,137
2020/10/31 20:47:42.519,233,http://www.testingyes.com/demo/-1,200,OK,Thread Group 1-1,text,true,,27146,475,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet.css,135,DESKTOP-B8OPFP2,0,0
2020/10/31 20:47:42.521,358,http://www.testingyes.com/demo/-2,200,OK,Thread Group 1-1,text,true,,7620,482,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_colors.css,358,DESKTOP-B8OPFP2,0,179
2020/10/31 20:47:42.521,342,http://www.testingyes.com/demo/-3,200,OK,Thread Group 1-1,text,true,,2860,487,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_css_buttons.css,342,DESKTOP-B8OPFP2,0,173
2020/10/31 20:47:42.522,210,http://www.testingyes.com/demo/-4,200,OK,Thread Group 1-1,text,true,,1134,481,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/print_stylesheet.css,210,DESKTOP-B8OPFP2,0,107
2020/10/31 20:47:42.524,364,http://www.testingyes.com/demo/-5,200,OK,Thread Group 1-1,text,true,,3420,491,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/jscript/jscript_matchHeight-min.js,364,DESKTOP-B8OPFP2,0,180
2020/10/31 20:47:42.524,206,http://www.testingyes.com/demo/-6,200,OK,Thread Group 1-1,text,true,,7210,475,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive.css,206,DESKTOP-B8OPFP2,0,101
2020/10/31 20:47:42.733,314,http://www.testingyes.com/demo/-7,200,OK,Thread Group 1-1,text,true,,25079,483,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive_default.css,213,DESKTOP-B8OPFP2,0,104
2020/10/31 20:47:42.733,487,http://www.testingyes.com/demo/-8,200,OK,Thread Group 1-1,text,true,,31441,420,1,1,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,486,DESKTOP-B8OPFP2,0,373
2020/10/31 20:47:42.753,841,http://www.testingyes.com/demo/-9,200,OK,Thread Group 1-1,bin,true,,119017,435,1,1,http://www.testingyes.com/demo/images/shirt.jpg,218,DESKTOP-B8OPFP2,0,104
2020/10/31 20:47:42.866,212,http://www.testingyes.com/demo/-10,200,OK,Thread Group 1-1,bin,true,,5388,435,1,1,http://www.testingyes.com/demo/images/dress.jpg,212,DESKTOP-B8OPFP2,0,108
2020/10/31 20:47:42.881,228,http://www.testingyes.com/demo/-11,200,OK,Thread Group 1-1,bin,true,,9228,436,1,1,http://www.testingyes.com/demo/images/tomate.jpg,228,DESKTOP-B8OPFP2,0,111
2020/10/31 20:47:42.889,311,http://www.testingyes.com/demo/-12,200,OK,Thread Group 1-1,bin,true,,27882,435,1,1,http://www.testingyes.com/demo/images/apple.jpg,208,DESKTOP-B8OPFP2,0,101
